Scientifc_name,Status,Senior_Junior_synonym,Combination
"Tetragonopterus finitimus Bocourt, 1868",synonym,senior,original
"Astyanax obscurus (Hensel, 1870)",accepted,senior,new
"Tetragonopterus obscurus Hensel, 1870",synonym,senior,original
"Astyanax stilbe (Cope, 1870)",accepted,senior,new
"Tetragonopterus stilbe Cope, 1870",synonym,senior,original
"Astyanax lacustris (Lütken, 1875)",accepted,senior,new
"Tetragonopterus lacustris Lütken, 1875",synonym,senior,original
"Astyanax maximus (Steindachner, 1876)",accepted,senior,new
"Tetragonopterus maximus Steindachner, 1876",synonym,senior,original
"Tetragonopterus alosa Günther, 1876",synonym,junior,original
"Astyanax metae Eigenmann, 1914",synonym,junior,original
"Astyanax bransfordii (Gill, 1877)",accepted,senior,new
"Bramocharax bransfordii Gill, 1877",synonym,senior,original
"Bramocharax elongatus Meek, 1907",synonym,junior,original
"Astyanax jenynsii (Steindachner, 1877)",accepted,senior,new
"Tetragonopterus jenynsii Steindachner, 1877",synonym,senior,original
"Astyanax longior (Cope, 1878)",accepted,senior,new
"Tetragonopterus longior Cope, 1878",synonym,senior,original
"Astyanax caucanus (Steindachner, 1879)",accepted,senior,new
"Tetragonopterus caucanus Steindachner, 1879",synonym,senior,original
"Astyanax cordovae (Günther, 1880)",accepted,senior,new
"Tetragonopterus cordovae Günther, 1880",synonym,senior,original
"Astyanax lineatus (Perugia, 1891)",accepted,senior,new
"Tetragonopterus lineatus Perugia, 1891",synonym,senior,original
"Astyanax moorii (Boulenger, 1892)",accepted,senior,new
"Tetragonopterus moorii Boulenger, 1892",synonym,senior,original
"Astyanax jacuhiensis (Cope, 1894)",accepted,senior,new
"Tetragonopterus jacuhiensis Cope, 1894",synonym,senior,original
"Astyanax laticeps (Cope, 1894)",accepted,senior,new
"Tetragonopterus laticeps Cope, 1894",synonym,senior,original
"Astyanax atratoensis Eigenmann, 1907",accepted,senior,original
"Astyanax nasutus Meek, 1907",accepted,senior,original
"Astyanax nicaraguensis Eigenmann & Ogle, 1907",accepted,senior,change in rank
"Astyanax rutilus nicaraguensis Eigenmann & Ogle, 1907",synonym,senior,original
"Astyanax aeneus costaricensis Meek, 1914",synonym,junior,original
"Astyanax orthodus Eigenmann, 1907",accepted,senior,original
"Astyanax angustifrons (Regan, 1908)",accepted,senior,new
"Tetragonopterus angustifrons Regan, 1908",synonym,senior,original
"Astyanax bourgeti Eigenmann, 1908",accepted,senior,original
"Astyanax brevirhinus Eigenmann, 1908",accepted,senior,original
"Astyanax depressirostris Miranda Ribeiro, 1908",accepted,senior,original
"Astyanax goyacensis Eigenmann, 1908",accepted,senior,original
"Astyanax gracilior Eigenmann, 1908",accepted,senior,original
"Astyanax pedri (Eigenmann, 1908)",accepted,senior,new
"Deuterodon pedri Eigenmann, 1908",synonym,senior,original
